================================================================================================
Path-slot usage per (src,dst): FiLM-Tf vs noFiLM-Tf
================================================================================================
topo=geant_linear  episodes=200  K=16  min_flows=20  common_pairs=462

 src  dst | FiLM nSlot FiLM Hbits FiLM top% | noF nSlot noF Hbits noF top% |  nFlow
------------------------------------------------------------------------------------------------
   1    8 |         15       3.73       17% |        15      3.73      14% |     71
   8   13 |         16       3.72       14% |        16      3.75      15% |     73
  11   20 |         15       3.66       14% |        12      3.23      18% |     73
   8    5 |         14       3.65       16% |        13      3.44      16% |     56
   9   11 |         15       3.62       16% |        14      3.14      32% |     56
   5    8 |         15       3.61       16% |        15      3.50      14% |     64
  17   20 |         16       3.59       21% |        11      2.75      32% |     67
   9   21 |         16       3.56       24% |        13      2.52      55% |     80
   8    1 |         15       3.55       21% |        14      3.50      17% |     63
  20   17 |         14       3.55       18% |        12      3.11      28% |     83
  16    2 |         14       3.52       14% |        11      3.10      31% |     69
   8   11 |         14       3.51       15% |        16      3.62      19% |     80
   5    9 |         15       3.49       17% |        13      3.26      23% |     72
   2   16 |         13       3.48       19% |        15      3.59      14% |     64
   7    8 |         15       3.48       17% |        11      2.96      27% |     53
   9    1 |         14       3.47       23% |        14      3.33      25% |     74
  11    8 |         14       3.44       27% |        15      3.46      19% |     85
   1   20 |         14       3.42       23% |        13      3.23      26% |     53
  13    8 |         14       3.41       20% |        15      3.39      24% |     61
  19    1 |         14       3.40       20% |        14      3.16      30% |     61
  21    9 |         15       3.40       30% |        14      2.78      44% |     60
  20   21 |         13       3.39       19% |        10      2.59      35% |     68
   9   17 |         16       3.39       26% |        13      3.16      28% |     70
  11    9 |         15       3.39       22% |        11      3.23      22% |     68
   8   21 |         16       3.38       28% |        12      2.65      43% |     69
   9    5 |         13       3.37       15% |        12      3.22      23% |     62
  18    8 |         14       3.37       20% |        11      2.90      31% |     55
   5   16 |         14       3.36       24% |        12      3.03      23% |     71
  20   14 |         14       3.36       30% |        15      2.75      47% |     60
   8   14 |         13       3.36       23% |        10      2.81      31% |     61
  16   12 |         15       3.36       24% |         8      2.40      34% |     68
  16    1 |         14       3.35       20% |        12      3.30      20% |     80
   8   10 |         14       3.35       19% |        11      2.89      26% |     77
  19   18 |         15       3.33       25% |        13      2.53      47% |     65
  17    9 |         15       3.33       33% |        14      3.14      33% |     73
  16    0 |         15       3.32       20% |         8      2.45      28% |     79
  20    1 |         14       3.32       22% |        13      3.20      26% |     64
   1    9 |         13       3.32       24% |        14      3.56      14% |     74
  13   20 |         13       3.31       18% |        12      3.13      25% |     78
  19   13 |         13       3.30       23% |        16      3.48      24% |     57
  20   11 |         13       3.30       22% |        13      3.26      25% |     51
  17   19 |         14       3.30       25% |        12      2.49      48% |     64
  21    8 |         15       3.29       23% |        13      2.92      28% |     57
   8   18 |         15       3.29       25% |        10      2.72      31% |     69
  11   19 |         14       3.28       20% |        12      2.99      31% |     65
  10   19 |         13       3.25       28% |        10      2.43      39% |     58
  20   13 |         14       3.24       24% |        13      3.14      33% |     62
  12   15 |         15       3.24       33% |        13      3.16      22% |     78
   7   21 |         13       3.24       23% |        10      2.86      24% |     62
  13   19 |         14       3.23       29% |        13      3.26      28% |     51
  17    8 |         16       3.23       31% |        16      3.59      23% |     61
  20    5 |         13       3.22       26% |        14      3.36      17% |     62
   8    6 |         13       3.21       23% |        13      3.04      31% |     73
  16    5 |         13       3.21       25% |        12      3.39      14% |     63
   6   19 |         14       3.21       31% |        12      2.66      41% |     59
  19    5 |         12       3.21       18% |        12      3.14      24% |     60
  13    9 |         12       3.20       26% |        15      3.45      15% |     70
  12   21 |         12       3.20       19% |        12      3.04      27% |     68
  17    3 |         15       3.20       34% |         8      2.77      25% |     61
  17    4 |         14       3.18       21% |         7      2.53      30% |     91
  21   20 |         14       3.18       29% |         7      2.13      39% |     69
   8   12 |         13       3.18       26% |        12      3.19      24% |     62
  15   12 |         13       3.18       24% |        12      2.93      29% |     59
  15   13 |         14       3.17       30% |        13      2.96      38% |     60
   1   16 |         12       3.17       18% |        13      3.19      24% |     76
  10    9 |         14       3.16       28% |        10      2.69      30% |     61
  14   20 |         13       3.16       31% |        10      2.52      46% |     68
   9    7 |         13       3.15       22% |        14      3.04      28% |     54
   6    8 |         11       3.15       17% |        13      3.34      20% |     63
   3    2 |         13       3.15       22% |         8      2.50      32% |     74
  20    2 |         12       3.14       31% |         8      2.10      53% |     55
   2   14 |         12       3.14       19% |         7      2.57      29% |     73
  12    8 |         13       3.14       27% |        14      3.29      26% |     66
  19   14 |         14       3.13       30% |        10      2.58      39% |     66
   9   10 |         14       3.13       27% |        11      2.82      30% |     67
   5   19 |         11       3.12       25% |        11      2.93      34% |     51
  21    7 |         11       3.12       21% |        12      3.05      34% |     66
  13   12 |         14       3.12       26% |        10      2.75      30% |     69
   9    6 |         13       3.11       28% |         9      2.70      32% |     65
  19   12 |         15       3.11       32% |        10      2.48      42% |     65
  16   11 |         11       3.11       26% |        14      3.23      20% |     62
   5   20 |         11       3.09       18% |        12      3.12      22% |     76
   3    1 |         15       3.09       27% |        10      2.71      35% |     77
   3    5 |         14       3.09       33% |         8      2.45      39% |     69
  12    9 |         14       3.09       21% |         8      2.65      33% |     67
   7   15 |         12       3.09       23% |        13      2.84      32% |     52
   9   14 |         13       3.09       24% |        13      3.15      27% |     71
  11    6 |         13       3.08       21% |         8      2.58      31% |     62
   1    0 |         13       3.07       35% |        10      2.73      31% |     55
  21   12 |         11       3.07       20% |        12      3.15      25% |     66
   9   13 |         12       3.07       31% |        12      3.39      22% |     70
  14    2 |         12       3.05       21% |        11      2.50      37% |     68
   8    4 |         14       3.05       33% |         9      2.43      36% |     67
  19   16 |         14       3.04       30% |        10      2.79      25% |     69
   1   19 |         13       3.04       35% |        13      3.37      22% |     82
  16   13 |         11       3.04       20% |        14      3.32      27% |     50
  16    7 |         12       3.04       31% |         9      2.26      41% |     59
  11    3 |         11       3.03       23% |         9      2.49      32% |     70
   6    9 |         12       3.02       35% |         8      2.19      49% |     49
   5   14 |         12       3.00       27% |         8      2.77      23% |     70
   1   15 |         11       3.00       24% |         9      2.35      43% |     66
   2   18 |         10       2.99       24% |         9      2.57      30% |     62
  20    6 |         13       2.99       28% |         9      2.26      44% |     75
  15    7 |         13       2.99       32% |        10      2.59      42% |     73
  13   16 |         11       2.98       27% |        14      3.35      21% |     55
  12   13 |         11       2.98       27% |        12      2.81      28% |     60
  18   19 |         14       2.98       36% |         9      2.27      50% |     47
   6   11 |         11       2.98       25% |         9      2.66      37% |     69
   3   17 |         12       2.97       29% |         9      2.93      26% |     51
  18   11 |         13       2.97       28% |         7      2.19      35% |     65
  21   19 |         13       2.97       39% |        10      2.30      50% |     59
  20    7 |         14       2.97       38% |         9      2.18      57% |     71
   0   17 |         13       2.96       43% |         9      2.29      51% |     61
   8    7 |         12       2.95       29% |        12      3.32      20% |     52
  20   12 |         13       2.94       34% |         9      2.53      32% |     53
  11   16 |         13       2.94       28% |        11      2.53      51% |     69
  11   18 |         14       2.94       31% |         5      1.99      38% |     55
   5    0 |         11       2.93       22% |         8      2.42      34% |     76
   8   17 |         13       2.93       36% |        15      3.68      16% |     59
  15   11 |         15       2.92       45% |        13      2.47      51% |     67
   2   10 |         10       2.92       30% |         8      2.57      31% |     57
  10    2 |         12       2.91       28% |        12      2.83      30% |     65
  12    1 |         13       2.91       32% |        10      2.98      26% |     57
   3   15 |         12       2.90       25% |        11      2.95      25% |     69
   0    1 |         12       2.90       36% |         8      2.58      29% |     59
   2    3 |         12       2.90       33% |         8      2.46      37% |     83
   1    7 |         11       2.90       21% |        12      2.74      30% |     71
  20   10 |         13       2.89       35% |        11      2.58      37% |     72
   5    3 |         12       2.89       31% |         8      2.15      43% |     61
   0   16 |         11       2.89       22% |         8      2.33      31% |     69
   3   13 |         12       2.89       34% |        13      2.91      37% |     64
  18    9 |         12       2.89       27% |         9      2.23      50% |     49
   0    3 |         14       2.88       32% |         8      2.10      42% |     71
  18   13 |         11       2.88       28% |         9      2.70      31% |     75
  19    3 |         13       2.88       33% |         6      1.84      43% |     78
   7    9 |         10       2.88       27% |        10      2.73      26% |     66
  12   16 |         12       2.88       28% |        12      2.76      36% |     64
  19   21 |         14       2.88       45% |         9      2.17      57% |     58
  19    7 |         13       2.87       33% |        12      2.63      44% |     75
  10    8 |         10       2.86       24% |        14      3.08      23% |     67
  10    1 |         11       2.86       23% |         8      2.68      27% |     65
  19   11 |         12       2.86       33% |        12      2.91      37% |     70
  16   19 |         11       2.86       35% |        11      2.51      47% |     63
  17   13 |         12       2.85       30% |         6      2.02      45% |     60
   1   18 |         11       2.85       28% |         8      2.54      29% |     65
   7   20 |         13       2.85       42% |        11      2.45      51% |     60
   3   11 |         13       2.85       35% |         9      2.50      32% |     52
  18    2 |         10       2.84       25% |         7      2.47      34% |     53
  13   18 |          9       2.83       24% |         8      2.77      27% |     58
  13    3 |         14       2.83       38% |         8      2.49      37% |     66
   7   19 |         11       2.82       28% |        12      2.69      34% |     50
  15    4 |         14       2.82       37% |         6      1.96      43% |     70
   6   20 |         12       2.81       38% |        11      2.17      53% |     52
   9   12 |         10       2.81       31% |         8      2.65      33% |     61
  18    1 |         10       2.80       27% |         8      2.66      23% |     52
   7   13 |          9       2.79       25% |        11      3.04      28% |     69
   1   12 |         11       2.79       24% |        10      3.00      29% |     74
  16    6 |         15       2.78       35% |         9      2.15      44% |     77
   4   15 |         14       2.78       39% |         6      2.08      38% |     80
   0   13 |         11       2.78       39% |         7      2.19      44% |     70
  18    5 |         12       2.77       32% |         6      2.18      44% |     63
   1   10 |         11       2.77       36% |         7      2.49      32% |     58
   3   21 |         10       2.77       33% |         7      2.05      51% |     73
   5   10 |         11       2.77       32% |         5      2.06      41% |     62
  14    8 |         10       2.77       26% |        14      2.95      34% |     62
  14   19 |         12       2.76       33% |        10      2.51      44% |     69
  16    8 |         12       2.76       45% |        11      1.95      66% |     66
   2   17 |         11       2.75       28% |         9      2.31      33% |     72
  15   16 |         12       2.75       39% |         8      1.64      66% |     56
   4   17 |          9       2.75       28% |         8      2.69      23% |     64
   3    6 |         14       2.75       44% |        11      2.36      54% |     57
  14    5 |          9       2.75       23% |         6      2.30      29% |     64
   4    8 |         14       2.74       32% |        11      2.55      34% |     82
  15    3 |         12       2.74       36% |         8      2.42      29% |     70
  10    5 |         10       2.74       24% |         6      2.26      36% |     55
  19   17 |         14       2.73       43% |        14      2.84      43% |     56
   8   16 |         14       2.72       51% |        12      1.90      68% |     57
  10   13 |          9       2.71       33% |        10      2.60      32% |     52
  12   20 |         11       2.69       32% |        11      2.63      35% |     66
   0    5 |          9       2.69       26% |         6      2.26      37% |     53
  15    1 |         11       2.69       31% |         8      2.59      27% |     55
  15    5 |         13       2.69       42% |        10      2.08      56% |     59
   3    0 |         12       2.69       41% |         6      1.71      46% |     68
  19   10 |         11       2.68       33% |        10      2.38      44% |     78
  14    9 |         14       2.68       32% |        11      2.74      35% |     62
  13   15 |         11       2.66       37% |         9      2.61      38% |     79
  13    7 |          9       2.65       32% |        10      2.72      36% |     53
  12   19 |         12       2.65       33% |        11      2.64      39% |     58
   6   16 |         13       2.63       35% |         8      2.14      36% |     66
   7    1 |         10       2.63       37% |        10      2.86      27% |     63
  13    0 |         12       2.62       42% |        11      2.81      32% |     76
  14    0 |         13       2.62       37% |         5      1.75      50% |     59
  17   16 |         12       2.61       49% |        12      2.38      58% |     71
  20   15 |         13       2.61       51% |         8      1.77      64% |     71
   1   17 |         12       2.61       44% |         7      2.14      37% |     66
  10   11 |         10       2.60       29% |         7      2.24      31% |     63
  13   10 |         11       2.60       37% |        10      2.71      32% |     76
   0   11 |         11       2.60       43% |         5      1.97      46% |     68
  17    0 |         11       2.60       48% |        12      2.60      46% |     67
  17    1 |         12       2.59       31% |         7      2.26      34% |     83
   4    0 |         14       2.59       53% |        10      2.46      50% |     66
   9   18 |         12       2.58       40% |         6      2.05      40% |     62
  16   15 |         12       2.58       49% |        10      2.15      57% |     53
   4    9 |         11       2.58       39% |         9      2.19      37% |     71
   2    4 |         11       2.58       38% |         5      1.95      41% |     56
  10   12 |         12       2.57       52% |         7      2.05      48% |     52
   5   15 |         12       2.56       45% |        11      2.07      55% |     78
   3    7 |         14       2.55       54% |         8      1.63      65% |     67
  18   20 |         11       2.54       40% |         8      2.05      49% |     55
   0    4 |         13       2.53       53% |        10      2.13      60% |     66
  15   20 |         12       2.51       49% |         7      2.02      53% |     65
  16   14 |         10       2.49       35% |         7      1.96      36% |     51
   9   16 |         13       2.47       55% |         6      1.00      83% |     65
   4   19 |         13       2.46       54% |        10      1.67      72% |     61
  19    4 |         11       2.46       50% |         7      1.40      75% |     68
   3   10 |         11       2.46       44% |         7      1.74      62% |     64
  19    6 |         11       2.45       45% |        11      2.63      45% |     62
  15    6 |         12       2.45       51% |         7      1.99      55% |     68
  17    2 |         10       2.44       42% |         6      1.79      49% |     67
   3   19 |          9       2.44       35% |         5      1.51      63% |     62
   7   17 |         13       2.44       56% |         8      1.67      69% |     75
  10    3 |         13       2.44       48% |         4      1.10      77% |     54
   9    4 |         11       2.44       37% |         8      2.15      40% |     59
  11    0 |         11       2.43       48% |         6      2.13      45% |     62
  16   17 |         13       2.43       59% |        10      1.87      67% |     75
  21    3 |         10       2.42       41% |         7      2.07      40% |     61
  11   15 |         12       2.42       50% |         8      1.82      59% |     62
  18    0 |         10       2.42       40% |         5      1.69      42% |     73
   1    3 |          9       2.40       31% |        13      2.89      31% |     52
  12   18 |         12       2.40       54% |        10      2.23      49% |     76
   4   20 |         11       2.40       45% |         5      1.64      58% |     65
   5    4 |         10       2.38       38% |         6      1.76      41% |     73
  17   11 |         12       2.38       45% |         6      1.42      58% |     83
   6    3 |         11       2.38       48% |        11      2.23      58% |     63
  10   20 |         12       2.38       55% |        12      2.79      35% |     65
  14   17 |         12       2.37       55% |         7      1.41      72% |     51
   7   16 |         10       2.37       36% |        10      2.29      40% |     75
  13   17 |         10       2.37       44% |         5      1.78      51% |     61
   8    3 |         12       2.37       58% |         5      0.75      88% |     62
  14   12 |         14       2.37       53% |         7      2.05      51% |     66
  20    0 |         12       2.35       55% |         5      1.28      72% |     56
  11   10 |          8       2.34       36% |         6      2.09      39% |     61
   5   18 |         10       2.34       47% |         6      2.21      43% |     72
  21    4 |         10       2.33       37% |         6      1.98      44% |     73
   2   20 |         11       2.33       54% |        10      2.37      53% |     57
  20    4 |         12       2.32       55% |         3      1.00      77% |     58
  13   11 |         11       2.31       55% |        10      2.03      62% |     60
   9    2 |         13       2.30       60% |         8      1.56      72% |     67
   3    8 |         11       2.28       55% |        10      1.40      78% |     76
   2    8 |          9       2.27       39% |         9      1.99      57% |     67
   2    9 |         10       2.26       56% |         9      1.90      62% |     55
  20   18 |         11       2.26       54% |         7      1.95      50% |     59
